date_published,baseline_sentiment,vader_sentiment,month,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0
2009-07-01,1.0,0.9311833333333333,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2009-08-01,,0.9871082352554222,,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,1.0,0.99805,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2009-10-01,1.0,0.9783999999999999,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2009-11-01,1.0,0.99625,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2009-12-01,,1.0039621988844254,,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,,0.9937057740085029,,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,1.0,0.97804,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2010-03-01,0.0,0.9309999999999999,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2010-04-01,0.5,0.7083666666666666,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2010-05-01,0.3076923076923077,0.6976846153846152,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2010-06-01,0.4375,0.72909375,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2010-07-01,0.6842105263157895,0.9424315789473685,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2010-08-01,0.7,0.61319,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-01,0.5652173913043478,0.9216913043478263,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2010-10-01,0.75,0.9355000000000001,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2010-11-01,0.36,0.786328,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2010-12-01,0.7777777777777778,0.9597000000000002,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2011-01-01,0.32142857142857145,0.6641392857142857,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0.5238095238095238,0.8604571428571429,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2011-03-01,0.35294117647058826,0.7052,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,1.0,0.9564625,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2011-05-01,0.8666666666666667,0.9676733333333334,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2011-06-01,0.65,0.7863250000000002,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2011-07-01,0.6842105263157895,0.9450631578947369,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2011-08-01,0.3333333333333333,0.8155083333333334,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2011-09-01,0.5416666666666666,0.8027875,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2011-10-01,0.6785714285714286,0.8547928571428569,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2011-11-01,0.75,0.9798775,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2011-12-01,0.4782608695652174,0.9144391304347826,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2012-01-01,0.6666666666666666,0.8295545454545455,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0.5238095238095238,0.8610714285714284,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2012-03-01,0.3333333333333333,0.7569555555555554,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,0.6428571428571429,0.8483214285714286,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2012-05-01,0.9,0.76196,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2012-06-01,0.6666666666666666,0.7831866666666667,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2012-07-01,0.3684210526315789,0.823,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2012-08-01,0.7391304347826086,0.8393260869565217,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2012-09-01,0.9285714285714286,0.973392857142857,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2012-10-01,0.6190476190476191,0.7406285714285716,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2012-11-01,0.7,0.7892049999999999,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2012-12-01,0.6666666666666666,0.9733083333333333,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-01,0.3333333333333333,0.8901666666666669,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0.6666666666666666,0.9916999999999998,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2013-03-01,0.3333333333333333,0.6949866666666666,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,0.4444444444444444,0.7735148148148148,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2013-05-01,0.7333333333333333,0.7270866666666667,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2013-06-01,0.5714285714285714,0.8288214285714286,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2013-07-01,0.8571428571428571,0.8146071428571429,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2013-08-01,0.5294117647058824,0.8595588235294119,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,0.125,0.45648125,9.0,0,0,0,0,0,0,0,0,1,0,0,0
