date_published,baseline_sentiment,vader_sentiment,money_of_the_day,2020_money,oil_production,renewables,year
2009-01,-0.2,-0.032099999999999976,61.67,74.4,81491,635.8,2009
2010-01,-0.08433734939759036,0.508155421686747,79.5,94.35,83293,761.2,2010
2011-01,-0.2,0.29162666666666665,111.26,128.01,84042,908.2,2011
2012-01,-0.2436548223350254,0.3591614213197968,111.67,125.88,86255,1067.9,2012
2013-01,-0.0043859649122807015,0.4229013157894739,108.66,120.72,86670,1245.5,2013
2014-01,-0.3598130841121495,0.09449813084112146,98.95,108.17,88834,1414.0,2014
2015-01,-0.08314087759815242,0.28954318706697496,52.39,57.2,91632,1634.4,2015
2016-01,-0.24572649572649571,0.10823803418803418,43.73,47.16,91989,1851.3,2016
2017-01,-0.07120253164556962,0.2608443037974683,54.19,57.22,92568,2180.2,2017
2018-01,-0.31631205673758866,-0.008973900709219853,71.31,73.5,94852,2478.6,2018
2019-01,-0.41964285714285715,-0.06874178571428569,64.21,65.0,94961,2789.2,2019
2020-01,-0.3712737127371274,-0.15506775067750656,41.84,41.84,88391,3147.0,2020
