date_published,baseline_sentiment,vader_sentiment,money_of_the_day,2020_money,oil_production,renewables,year
2009-01,0.3333333333333333,0.6984333333333334,61.67,74.4,81491,635.8,2009
2010-01,-0.30158730158730157,0.0761460317460318,79.5,94.35,83293,761.2,2010
2011-01,-0.5641025641025641,-0.24043931623931616,111.26,128.01,84042,908.2,2011
2012-01,-0.576271186440678,-0.19615762711864398,111.67,125.88,86255,1067.9,2012
2013-01,-0.36666666666666664,0.07486333333333335,108.66,120.72,86670,1245.5,2013
2014-01,-0.5327102803738317,-0.21113738317757008,98.95,108.17,88834,1414.0,2014
2015-01,-0.4161676646706587,-0.07575718562874251,52.39,57.2,91632,1634.4,2015
2016-01,-0.39473684210526316,-0.030533333333333242,43.73,47.16,91989,1851.3,2016
2017-01,-0.15196078431372548,0.06719166666666669,54.19,57.22,92568,2180.2,2017
2018-01,-0.4842105263157895,-0.36255157894736817,71.31,73.5,94852,2478.6,2018
2019-01,-0.6976744186046512,-0.4039244186046511,64.21,65.0,94961,2789.2,2019
2020-01,-0.36363636363636365,-0.42498842975206635,41.84,41.84,88391,3147.0,2020
