date_published,baseline_sentiment,vader_sentiment,month,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0
2009-11-01,1.0,0.99855,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2009-12-01,-1.0,0.0982,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2010-01-01,0.0,0.12868,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0.0,0.5672833333333334,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2010-03-01,0.1111111111111111,0.848288888888889,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2010-04-01,0.1,0.10438999999999998,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2010-05-01,-1.0,-0.3818857142857143,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2010-06-01,-0.6,0.24648000000000003,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2010-07-01,-0.5,0.06862499999999999,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2010-08-01,-0.6666666666666666,0.17598333333333338,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-01,-0.7142857142857143,-0.6210857142857142,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2010-10-01,-1.0,-0.9586,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2010-11-01,1.0,-0.5764,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2010-12-01,1.0,-0.9768,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2011-01-01,-0.6,-0.18674,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,-0.3333333333333333,-0.43124999999999997,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2011-03-01,-0.5625,0.32545625,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2011-04-01,-0.6,0.1749,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2011-05-01,-0.5384615384615384,-0.14908461538461543,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2011-06-01,-0.5714285714285714,-0.09671428571428571,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2011-07-01,-0.6428571428571429,-0.6126928571428572,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2011-08-01,-0.6363636363636364,-0.6322727272727273,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2011-09-01,-0.875,-0.4931875,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2011-10-01,-0.5,-0.6629999999999999,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2011-11-01,-0.4444444444444444,-0.5863,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2011-12-01,-0.2857142857142857,-0.1561428571428572,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2012-01-01,-0.8181818181818182,-0.6243545454545454,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,-0.7777777777777778,-0.14004444444444447,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2012-03-01,-0.6666666666666666,-0.2704083333333333,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2012-04-01,0.0,0.992675,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2012-05-01,-0.3333333333333333,-0.9796333333333332,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2012-06-01,1.0,0.9870333333333333,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2012-07-01,-1.0,-0.41675,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2012-08-01,0.0,0.26583333333333337,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2012-09-01,-1.0,-0.6520166666666666,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2012-10-01,-0.3333333333333333,0.5069666666666667,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2012-11-01,,-0.3996844696840616,,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,-1.0,-0.9323,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-01,0.3333333333333333,0.9859666666666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0.0,0.029850000000000015,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2013-03-01,1.0,0.8661,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2013-04-01,-1.0,0.9075,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2013-05-01,,0.9771485346491353,,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0.3333333333333333,0.8741666666666666,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2013-07-01,,0.12367688872610355,,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,-1.0,-0.47358,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2013-09-01,-0.6,-0.17434,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2013-10-01,-1.0,-0.05449999999999999,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2013-11-01,-1.0,-0.28253333333333336,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2013-12-01,0.0,-0.3437666666666666,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2014-01-01,,0.42279218506325933,,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,-0.5,0.47067500000000007,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-01,-1.0,-0.99285,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2014-04-01,-1.0,-0.887225,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-01,-1.0,-0.7443,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2014-06-01,-1.0,-0.29600000000000004,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2014-07-01,-0.5,-0.95495,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2014-08-01,-0.6,0.048779999999999976,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2014-09-01,-0.7142857142857143,-0.3545285714285714,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2014-10-01,-0.52,-0.309376,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2014-11-01,-0.125,-0.32666249999999997,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2014-12-01,-0.575,-0.01976999999999999,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-01,-0.39473684210526316,-0.030734210526315777,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,-0.5714285714285714,-0.18403928571428568,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-01,-0.391304347826087,0.05885434782608696,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2015-04-01,-0.3170731707317073,0.1916268292682927,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2015-05-01,-0.32142857142857145,-0.004157142857142855,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2015-06-01,-0.05,0.04851999999999998,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2015-07-01,-0.8947368421052632,-0.4447263157894737,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2015-08-01,-0.5714285714285714,-0.24648571428571428,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2015-09-01,-0.45454545454545453,-0.1093818181818182,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2015-10-01,-0.25,-0.0278,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2015-11-01,-0.4117647058823529,-0.15725882352941176,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2015-12-01,-0.7272727272727273,-0.8152636363636365,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-01,-0.6774193548387096,-0.296741935483871,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,-0.7777777777777778,-0.16618333333333335,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2016-03-01,-0.5,0.39314166666666667,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-01,-0.3333333333333333,-0.17923333333333333,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2016-05-01,-0.5882352941176471,-0.3013823529411765,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2016-06-01,0.25,0.22531249999999997,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2016-07-01,-0.5714285714285714,-0.46295000000000003,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2016-08-01,-0.15789473684210525,-0.08052631578947367,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2016-09-01,-0.5454545454545454,0.08222272727272723,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2016-10-01,-0.42857142857142855,0.05958571428571429,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2016-11-01,-0.391304347826087,0.2132043478260869,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2016-12-01,0.12903225806451613,0.1945225806451613,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2017-01-01,0.45,0.336255,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,-0.07142857142857142,0.06525,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2017-03-01,-0.2222222222222222,-0.18335555555555555,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2017-04-01,-0.05555555555555555,0.22770833333333332,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2017-05-01,0.05172413793103448,0.0866396551724138,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2017-06-01,-0.4318181818181818,-0.06065681818181818,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2017-07-01,-0.3157894736842105,-0.10088596491228072,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2017-08-01,-0.21739130434782608,-0.1393804347826087,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2017-09-01,-0.3548387096774194,0.03985806451612901,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2017-10-01,-0.16666666666666666,0.42794000000000004,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2017-11-01,0.05,0.3295800000000001,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2017-12-01,-0.2,0.15527000000000002,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2018-01-01,-0.375,0.1987291666666667,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,-0.23809523809523808,0.25584285714285715,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2018-03-01,-0.16666666666666666,-0.37096666666666667,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2018-04-01,-0.11764705882352941,-0.2021764705882353,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2018-05-01,-0.6666666666666666,-0.4730466666666666,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2018-06-01,0.1111111111111111,-0.5752999999999999,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2018-07-01,-0.5714285714285714,-0.7337428571428571,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2018-08-01,-0.7777777777777778,-0.7237333333333333,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2018-09-01,-0.5,-0.6624444444444446,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2018-10-01,-0.8125,-0.770875,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2018-11-01,-0.7,-0.580475,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2018-12-01,-0.7142857142857143,-0.4017761904761905,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2019-01-01,-0.7272727272727273,-0.053472727272727255,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,-0.5625,-0.51271875,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2019-03-01,-0.5555555555555556,-0.5843444444444444,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2019-04-01,-0.6428571428571429,-0.19478571428571426,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2019-05-01,-1.0,-0.7579166666666667,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-01,-0.8461538461538461,-0.7246692307692307,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2019-07-01,-0.7692307692307693,-0.7140076923076923,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2019-08-01,-0.7647058823529411,-0.4691235294117647,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2019-09-01,-0.8333333333333334,-0.5457944444444445,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2019-10-01,-0.8666666666666667,-0.3219066666666667,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2019-11-01,-0.7777777777777778,-0.20414444444444443,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-01,0.0,0.011007142857142873,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,-0.7647058823529411,-0.5370235294117647,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,-0.9411764705882353,-0.7637588235294119,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-01,-0.7777777777777778,-0.43502222222222225,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-01,-0.5833333333333334,-0.6444416666666668,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-01,-0.03225806451612903,-0.4067516129032256,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2020-06-01,-0.16666666666666666,-0.4851458333333334,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2020-07-01,-0.3125,-0.6049125,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2020-08-01,-0.4,-0.15702,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2020-09-01,0.09090909090909091,-0.37865000000000004,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-01,-0.6111111111111112,-0.38183333333333336,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-01,0.21428571428571427,-0.08554285714285714,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2020-12-01,0.3,0.61141,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2021-01-01,-0.1875,-0.21010625000000002,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,0.09090909090909091,0.23138181818181816,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-01,-0.5555555555555556,-0.4163333333333334,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2021-04-01,0.10526315789473684,-0.05150000000000002,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2021-05-01,-0.4117647058823529,0.019764705882352962,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2021-06-01,0.19047619047619047,0.0741095238095238,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2021-07-01,-0.6774193548387096,-0.31954516129032257,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2021-08-01,-0.56,-0.5452919999999999,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2021-09-01,-0.25,-0.23763928571428578,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2021-10-01,-0.47619047619047616,-0.4479285714285715,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2021-11-01,-0.8,-0.16907,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-01,-0.42857142857142855,-0.2819,12.0,0,0,0,0,0,0,0,0,0,0,0,1
