title,date_published,content,baseline_sentiment,vader_sentiment,most_common_words
$70 Oil Won't Keep OPEC Happy,2021-11-29T19:00:00-06:00,"One daymdashthat was all it took oil prices to plunge by more than a tenth after health authorities announced the identification of the latest potentially dangerous coronavirus variant in Southern Africa.  Brent crude dropped from over $80 to about $72 per barrel, and West Texas Intermediate fell to $68 per barrel in the space of less than 24 hours, days after prices reacted to the release of 50 million barrels from the U.S. strategic petroleum reserve by rising. And with Brent at $72, OPEC is almost certain to halt its policy of supply increase.  ldquoIt obviously remains a wide-open question whether this new variant will truly pose a material threat to oil demand, with vaccination rates ratcheting steeply higher since the summer,rdquo Rory Johnston, managing director of research firm Price Street, told the Financial Times. ldquoBut markets arenrsquot waiting to find out. Sell now, ask questions later.rdquo  This selloff is playing to OPECrsquos concerns about oil demand, voiced recently and likely to be part of preparations to announce a halt to the monthly addition of 400,000 bpd to the total OPEC oil output until it returns to pre-pandemic levels. The group never managed to add 400,000 bpd anyway, as some members struggled to boost production.  OPEC now has more than one good reason to pull supply back. First, the U.S. reserve release move, which also involved other large oil consumers that happen to be Washingtonrsquos allies, had no chance of being welcomed by the oil-producing cartel. In fact, reports emerged almost immediately after the SPR release announcement that Saudi Arabia and Russia, the leaders of the extended OPEC alliance, were already considering a suspension of the output boost policy.  Citing unnamed sources familiar with the matter, the Wall Street Journal wrote on Wednesday that the two largest oil producers in the group were inclined to pause the output additions, while others, such as the UAE, saw no reason for a change in tack. After Fridayrsquos price drop, this opinion may have changed.  Related Germany Urges Congress Not To Sanction Nord Stream 2Then OPEC went on stoking expectations of a suspension the grouprsquos Economic Commission Boardmdashan advisory body within the organizationmdashsaid this week the oil stocks released by the United States and its partners would swell a global oil surplus by some 1.1 million bpd in January and February, according to a document that Bloomberg cited.  If 66 million barrels were added to global supply by the U.S. and its allies, OPECrsquos ECB said in the document, the global oil overhang would rise to 2.3 million bpd in January 2022 and 3.7 million bpd in February. Add to this the latest Covid scare, and the halting of output additions is all but a done deal. And it might not end with the halt of the 400,000-bpd in additions.  ldquoI think as we head into the OPEC meeting Thursday, the question is not only do they do a pause but potentially will they actually pull back some barrels because of concerns about this new variant alongside the very large SPR release,rdquo said Helima Croft, RBC Capital Marketsrsquo head of global commodities strategy, as quoted by CNBC.  ldquoWe are going to have a lot of barrels hitting this market, as we have these concerns about new Covid lockdown restrictions,rdquo Croft also said. ldquoAgain, too soon to say whether governments will pull the trigger on such measures, but the market will be concerned.rdquo  Earlier last week, a Rystad Energy analyst described the current situation as a ldquonew and unchartered type of price war,rdquo pitting consumers versus producers. Other analysts noted that the producer club held all the cards, however many barrels consumers released. They still hold all the cards, and their hand is on the oil tap, ready to turn it off.  Related Oil Prices Bounce Back After lsquoBlack Fridayrsquo CollapseJohn Kilduff from Again Capital predicted that OPEC will make its move if WTI falls below $70 ldquoThe battle lines are being drawn,rdquo he told Bloomberg last week following the SPR release announcement. ldquoCertainly, OPEC and the Saudis can win this in that they are holding all the cards. They can keep more oil off the market than a SPR release can put on the market. If you see WTI get under $70, then I would expect a response from OPEC.rdquo  This potential response would hardly come as a surprise in light of the latest on the coronavirus. The new strain, according to recent reports, has already reached Europe, with the UK, Germany, Belgium, and Italy confirming the detection of the new variant. With the continent already on high alert because of rising cases, even in countries with high vaccination coverage, the news would only reinforce fears of more restrictions that would affect oil demand. And the virus appears to be traveling fast.  What the latest events have proven once again is that the pandemic remains the biggest single factor for oil prices. Almost two years in, the identification of new variants and flare-ups in case numbers in key oil markets are still better at reining in oil prices than the deliberate actions of governments.  By Irina Slav for Oilprice.com",-1,0.9448,"['oil', ' ', 'OPEC', '$', 'release', 'new', 'bpd', 'million', 'barrels', 'rdquo', 'prices']"
Why This Oil Price Slump May Not Be Bad News For US Shale,2021-12-02T19:00:00-06:00,"Crude oil prices are plunging under the weight of the latest coronavirus variant news and a speculator-driven selloff. But this time, U.S. shale drillers seem to be quite immune to the trend. Their stocks are not plunging in unison with oil benchmarks. There is no panic in the shale patch. Thank discipline.  ldquoIt looks like the market is starting to reward better behavior by producers,rdquo Josh Young, chief investment officer at Texas-based money manager Bison Interests, told Bloombergrsquos Kevin Crowley this week. ldquoTheyrsquore not getting punished as much on the way down.rdquo  The shale patch was forced into this strict discipline by the pandemic, which last year coupled with trader jitters to cause an unprecedented drop in prices, for a short while plunging WTI below zero. Many exploration and production companies went under. Those that didnrsquot have rearranged their priorities, focusing on returning cash rather than boosting production at all costs.  The latest stock movesmdashor rather the lack of any dramatic movesmdashare one proof that the disciplined approach is working. Another is that production is finally growing, and stocks are not being affected negatively by this.  Rystad Energy said last month that U.S. shale oil output could reach 8.68 million bpd this month. This, the Norwegian energy consultancy said, would be the highest production level since March 2020. In the Permian alone, Rystad sees December output at over 5 million bpd. That would be the highest since 2015.    Drilling is also picking up across the shale patch. The drilled but uncompleted well inventory is nearing depletion at the fastest rate ever recorded, and EampPs are drilling again. This DUC depletion is part of that new disciplined approach. Completing a well is much cheaper than drilling a new one, and there were thousands of DUCs waiting to be finished. So shale drillers chose to complete these in the third quarter in response to rising demand rather than spend more on drilling new wells. As a result, their free cash flow position continued strong, and so did their stock.  It took two market crashes for shale drillers to learn this lesson, but they did learn it well. Before, production growth was the number-one priority trumping all else. This led to years of cash-burning, huge debt piles, and, worst of all, unhappy investors. Now, it is investor returns above all and a guarded attitude toward production growth. Even insistence from the administration doesnrsquot seem to have made a difference.  Of course, it must matter how the insistence was being expressed, and it wasnrsquot being expressed in the best way. Energy Secretary Jennifer Granholm has, in a way, asked the U.S. oil industry to start pumping more oil, but she chose to do it by accusing said industry of raking in fat profits from higher oil prices and using them to reward their shareholders instead of boosting production. Thatrsquos an approach similar to the EUrsquos approach to dealing with Russiamdashand abundant evidence suggests it is not the most productive one.  Right now, prices are down sharply, which might give a pause to production growth, especially coupled with the depletion of DUC stocks. But it will also reinforce the disciplined approach in an industry that has been battered by price slumps often enough to know better. And this discipline will, in turn, serve to limit the downside potential of prices.  How long the rout will continue remains to be seen and largely depends on information about the latest coronavirus variant. Some argue that the current selloff is mostly driven by speculators, although industry insiders note that it has come too far, too fast, Reuters reported this week. This means the effects of this selloff will likely soon disappear as the panic subsides with more data about the omicron variant.  Yet, for shale drillers, it wonrsquot matter as much as before how high or low crude oil is trading. They seem to have found the way to their investorsrsquo hearts, and they are focusing on this after years of sinking billions into production boosts that only served to make the blow of the pandemic harder on everyone in the industry.By Irina Slav for Oilprice.com",-1,0.9957,"[' ', 'production', 'shale', 'oil', 'prices', 'approach', 'industry', 'drillers', 'way', 'plunging', 'latest']"
The Double Irony Of Biden's Plea To OPEC,2021-11-10T13:00:00-06:00,"As I wrote in February of this year innbspThe Inherent Risks In President Bidenrsquos Energy Plan    ldquoIf we prematurely discourage investment in fossil fuels mdash and then our dependence doesnrsquot decline as rapidly as the Biden Administration envisions mdash that is a recipe for shortages, higher prices, and greater dependence on foreign nations for our energy.rdquo    Like the Obama Administration, the Biden Administration initially adopted a relatively hostile position toward the fossil fuel industry. The revocation of the Keystone XL Pipeline permit and the temporary suspension of new oil and gas leases on federal lands were policies that signaled that the Biden Administration wants to move the country away from oil.  But what happens when Americans arenrsquot ready to move on from oil, and new domestic supplies arenrsquot meeting demand  Thatrsquos the position we currently find ourselves in. The Biden Administration could respond in one of two ways.  They could say ldquoHigh oil prices will speed up the transition to renewable energyrdquo mdash which is certainly how they feel privately. After all, U.S. officials attended the COP26 U.N. Climate Summit in Glasgow this week, where they discussed plans to reduce carbon emissions. They could tell Americans to take their medicine, live with higher gas prices, and then privately hope that hastens the transition to green energy.  But people donrsquot like paying higher gasoline prices. So, the first irony is that the Biden Administration asked OPEC to pump more oil, undermining its COP26 messaging of reducing fossil fuel consumption. At the G-20 meeting in Rome, President Biden complained    ldquoThe idea that Russia and Saudi Arabia and other major producers are not going to pump more oil so people can have gasoline to get to and from work, for example, is not right.rdquo  President Biden pleaded with OPEC this week to pump more oil. Those pleas were rebuffed, and late last week Energy Secretary Jennifer Granholm called on oil-producing nations to immediately increase crude supplies so people wonrsquot be hurt by high prices this winter.  The second irony in this situation is that one country that is producing a lot less oil than it was 18 months ago is the U.S. And policies that are hostile to the oil industry mdash indeed that will ultimately curtail U.S. oil production mdash potentially lead us to a place like this.  Secretary Granholm seemed unclear on why U.S. producers havenrsquot ramped production back up    ldquoI donrsquot know why at $80 a barrel those incentives are not there. During Covid, it was down mdash they backed off because demand was not there because people were staying home, we know that. Now that things are back up, the production should be meeting that [demand], there has been rigs that have been added but not fully.rdquo    There are at least three reasons why production hasnrsquot completely rebounded from the spring 2020 plunge. First, some producers went out of business when prices fell. Some of that production isnrsquot coming back quickly. Second, you can expect that some marginally economic wells were permanently shut down when prices plunged.  But the third factor may be the most important. Oil production doesnrsquot respond quickly to rising price signals. Last year when prices plunged, the number of wells drilling for oil plummeted. Those rigs are slowly coming back online, but there is a lag of months or even years between drilling for oil and oil production. So, oil that we could have expected right now isnrsquot there, because the rig count plunged 18 months ago. The rig count has been climbing back all year, but it is still below pre-pandemic levels.  Because of the lag between price signals and production changes, the Biden Administration needs to make decisions now to ensure domestic supplies are strong during the rest of his term. One of the most important acts the administration could do is fast-track thousands of drilling permit applications that are waiting to be approved.  The administration slowed down these approvals early in the year. The pace has picked up substantially, but that initial slowdown is being felt right now. And that, in part, is why we have to ask OPEC to pump more oil. Itrsquos a bad look for the U.S., but a consequence that I warned about in my February article.  The Biden Administration should learn a valuable lesson from this. An agenda to move the U.S. away from fossil fuels is a noble one. But, if in the process your policies contribute to a supply shortfall and prices skyrocket, you wonrsquot be able to see that agenda through because you will be voted out of office. That is where theory collides with practical reality.  By Robert Rapier",-1,0.8805,"['oil', ' ', 'Biden', 'prices', 'Administration', 'production', 'mdash', 'U.S.', '   ', 'year', 'fossil']"
The Oil Price Rally Is Far From Over,2021-11-09T19:00:00-06:00,"How much higher could oil prices go This is the question that the U.S., China, India, and other big consumers have come to dread as benchmarks continue to rise amid tight supply and soaring demand. The answer right now is not one they will be happy with, either.  ldquoNet, our bullish view remains unchanged the oil deficit remains unresolved, the current strength in oil demand remains a near-term tailwind and the increasingly structural nature of the deficits will require much higher long-dated oil prices,rdquo Goldman Sachs analysts wrote in a note last week.  The bank sees Brent crude ending the year at $90 per barrel and staying high over the next few years as well, averaging $85 per barrel. Analyst Damien Courvalin said last month that ldquoWersquore facing potential multi-year deficits and the risk of significantly higher prices.rdquonbsp  Bank of America said earlier this month Brent crude could reach as much as $120 per barrel by the middle of next year. Thatrsquos a revision of another bullish forecast that saw Brent hitting $100 per barrel over the next six months. The reason for the revision the now global energy crunch that has seen the prices for all fossil fuels, especially coal, skyrocket amid soaring demand.  According to BofA, a recovery in jet fuel demand, higher diesel fuel demand, and constraints in the refining industry would all contribute to higher oil prices over the coming months.  UBS is also bullish on oil, like pretty much everyone else. The Swiss bankrsquos strategists said in a note earlier this month that oil supply was falling short of demand, noting that oil in storage across the Organization for Economic Co-operation and Development was at the lowest since 2015, according to a Houston Chronicle report.  The latest developments in OPEC also suggest oil has higher to go. On Friday, Saudi Arabia raised the December official selling price for its flagship Arab Light for Asia by $1.40 per barrel from November levels signaling expectations for the continued imbalance between demand and supply.  Related Oil Rally Reverses On Signs Of Cooling Demand  Itrsquos worth noting the Kingdom is raising prices even after Chinese oil imports fell in October precisely because of the international oil price rally. Imports were the lowest in three years, Reuters reported, as state-owned buyers found prices too high and independent refiners were constrained by lower import quotas.  ldquoWe maintain the view that we have held all year - that the oil market remains in the early days of a multi-year, structurally strong cycle,rdquo RBC analyst Michael Tran said in a note in mid-October. The reason seems to be the same as for all the bullish forecasts fundamentals.  ldquoMy advice to clients is that you want to stay long oil until you know where that equilibrium price isrdquo that brings new supplies online, said Jeff Currie, the chief of commodities research at Goldman Sachs last month, as quoted by Bloomberg. ldquoWe know itrsquos above these levels because we havenrsquot had a big uptick in capex and investment.rdquonbsp    The industry also sees oil higher for longer. Chron quoted the president of the Texas Independent Producers amp Royalty Owners Association as saying he expected U.S. oil to reach $90 per barrel and stay there for at least a few months. Ed Longanecker cited low investment in new drilling, supply chain problems that are extending delivery times for equipment and materials, and continued strong demand among the factors determining this view.  ldquoOverall oil futures are likely to average somewhere in the $85-$87-per-barrel area through much of the winter, based on a potential colder than normal winter and inventories still below seasonal norms,rdquo said the chief oil analyst of IHS Markitrsquos Oil Price Information Service. ldquoA run toward $90 also seems to be in the cards.rdquo  One exception to the strongly bullish choir is perhaps Citi. While the bankrsquos commodity chief Ed Morse also expects higher prices this quarter, he also anticipates much stronger U.S. production of oil next year U.S. production, Morse told Bloomberg last week, could grow by a lot more than any individual OPEC country in 2022.  The price level of $90 per barrel seems to be the meeting point of many commodity analysts, at least for the immediate term. And with OPEC not coming to the rescue, such prices are fully possible. Even President Biden had to admit the cartel was not going to heed the request and later demands for more oil supply.  ldquoIrsquom not anticipating that OPEC would respond, that Russia and/or Saudi Arabia would respond,rdquo Biden told media on Saturday, as quoted by Bloomberg. ldquoTheyrsquore going to pump some more oil. Whether they pump enough oil is a different thing.rdquo  For now, chances are they will not pump enough to push prices lower, which means the upside potential remains significant, at least until the point is reached when prices begin to weigh on demand and it naturally declines, dragging prices with it.  By Irina Slav for Oilprice.com",1,0.1027,"['oil', ' ', 'prices', 'demand', '$', 'higher', 'barrel', 'year', 'said', 'supply', 'bullish']"
"Biden Threatens OPEC With Undisclosed ""Tools""",2021-11-08T10:00:00-06:00,"There are other tools in the arsenal that we have to deal with other countries at an appropriate time, President Biden said this weekend, referring to OPEC and its refusal to boost crude oil supply in response to repeated calls from Washington to that tune.  The mentioning of tools in the arsenal came in response to a question about whether Washington was considering the release of some crude from the Strategic Petroleum Reserve as a means of reining in retail fuel prices.  I'm not anticipating that OPEC would respond, that Russia and/or Saudi Arabia would respond, President Biden said, as quoted by Reuters. They are going to pump some more oil. Whether they pump enough oil is a different thing.  We can get more energy in the pipeline figuratively and literally speaking,nbspthe president added.  The U.S. administration has been urging OPEC and its partners in OPEC to add more barrels to their combined output since July as recovering demand for oil products pushed prices at the pump to politically uncomfortable highs.  Most recently, the calls have turned into demands and accusations of OPEC threatening the global economic recovery by withholding barrels from the market.  Opec seems unwilling to use the capacity and power it has now at this critical moment of global recovery for countries around the world, a spokesperson for President Biden's National Security Council said last week, as quoted by the Financial Times. Our view is that the global recovery should not be imperilled by a mismatch between supply and demand.  The option of releasing crude from the SPR has been mentioned a few times, including by Energy Secretary Jennifer Granholm, but for now, the administration appears to be reluctant to tap the strategic reserve. As to what the other tools are that Washington plans to use to convince OPEC to pump more oil, details on those have yet to be shared publicly.  By Irina Slav for Oilprice.com",-1,-0.6269,"[' ', 'OPEC', 'oil', 'pump', 'tools', 'President', 'Biden', 'said', 'crude', 'Washington', 'global']"
Citi Oil Will Continue Rising This Quarter,2021-11-05T10:00:00-05:00,"Crude oil prices will continue rising this quarter as global oil inventories drawdowns continue and OPEC sticks to its limited addition output policy, Citirsquos head of commodity research Ed Morse told Bloomberg.  Morse commented that it was funny how oil prices reacted following OEPCrsquos latest announcement after its meeting on Thursday, going down instead of up as one would expect. He also noted that OPEC had moved from the role of the ldquocentral bank of oilrdquo to the role of regulator, keeping a cap on supply to keep prices higher.  Asked whether OPEC had the capacity to increase production should demand growth accelerate at some point, Morse said that some OPEC members certainly had the capacity. While some members of the group had suffered a drop in production capacity due to underinvestment, he said Saudi Arabia, Russia, the UAE, and Kuwait could boost production quickly, by about 3 million bpd.  Yet OPEC is not the only player in the field, according to Morse. In fact, he thinks the U.S. could surprise everyone next year by ramping up production substantially. U.S. production, Morse said, could grow by a lot more than any individual OPEC country in 2022.  While the U.S. oil industry ramps up, however, the U.S. administration is experiencing an embarrassing moment, Morse also said, referring to the White Housersquos accusations towards OPEC of being responsible for bringing more oil to the market to keep retail fuel prices lower.  ldquoThis is an embarrassing moment for the U.S. government under the Biden administration, which has been not looking at fossil fuels,rdquo Morse said, adding that production in the Permian was already back to pre-pandemic levels and about to ldquoexploderdquo with production next year.  In this context, Morse expects a year from now, OPEC may have to think about limiting production again as prices would fall dramatically from current levels.  By Irina Slav for Oilprice.com",-1,-0.5859,"['OPEC', 'Morse', 'production', ' ', 'oil', 'prices', 'said', 'U.S.', 'capacity', 'year', 'continue']"
Oil Rally Reverses On Signs Of Cooling Demand,2021-11-03T19:00:00-05:00,"After a nine-week winning streak, oil prices have gone into reverse gear as worrying signs of cooling demand have begun to appear. WTI climbed 11% and Brent rose 7.5% in the month of October, as global oil consumption outpaced supply and drained stockpiles.  However, another crude buildup in the United States has got the market fretting that this epic rally could be running out of steam.  On Tuesday, the American Petroleum Institute API reported an inventory build for crude oil of 3.594 million barrels, more than double the 1.567-million barrels build that analysts had predicted. That marked the sixth straight week of crude inventory build, raising genuine concerns that this bull could be on its last legs.  Hedge funds have taken the cue and are beginning to slam the brakes on their oil buying spree.  The latest Commitment of Traders COT report by the U.S. Commodity Futures Trading Commission shows that in the most recent week, hedge funds cut their net long position by 18 million barrels, with reductions in Brent -18 million and NYMEX/ ICE WTI - 7 million, partly offset by additions in U.S. gasoline 4 million, U.S. diesel 1 million and European gas oil 1 million.  In sharp contrast, funds added 110 million barrels over the previous four-week period.  According to the experts, portfolio managers are still bullish on distillates thanks to their high-gearing to the business cycle as well as potential to benefit from fuel-switching this winter in the northern hemisphere as a result of high gas and coal prices.  They clearly do not have the same faith in crude, and for good reason Major economic risks as the Fed begins paring back its bond-buying program.  Economic risks  The US Federal Reserve is expected to start tapering in a matter of weeks, effectively reducing the amount of US government bonds it buys every month. Right now, the Fed has been purchasing bonds worth $120 billion every month, and the assets on its balance sheet have swollen to nearly $9 trillion.  Although the markets have long anticipated the latest round of taper, investors are still skittish due to stubbornly high inflation and fears that the Fed might be forced to raise rates at a faster-than-expected clip in a bid to tame inflation.  Although the Fed has been talking down high inflation numbers as transitory, persistent supply chain issues suggest the issue is more complex.    Source Quartz  U.S. consumer prices jumped more than 5% Y/Y in September, a bigger increase than expected. Economic experts like Harvey and Summersare have warned that people and businesses are experiencing even headier inflation than what the CPI is suggesting. For instance, home prices have soared nearly 20%, while some measures of apartment rental prices have jumped by double digits.    The Fed is in a bind, and now has to perform a delicate balancing act. After spending trillions of dollars on stimulus packages designed to support economic recovery, serious supply shortages have emerged everywhere, from housing and microchips to workers as demand outpaces supply. If the Fed hikes interest rates too soonndashthe main tool for combating inflationmdashserious wage inequalities can emerge, with incomes for women and minorities bearing the brunt of such overreach in the past. Meanwhile, stagflationndashcharacterized by slowing economic growth and rising inflationndashremains a real threat U.S. GDP expanded a mere 2% in the third quarter after growing 6% in the first half of the year.  Indeed, institutional investors are now betting that inflation could hit 3% in just five years, according to the so-called breakeven rate, which is the difference between the five-year Treasury yield and five-year inflation-indexed securities. That marks the highest forecast of price increases in more than 10 years.  Still bullish  Despite the serious economic overhang, Wall Street remains bullish on the oil price trajectory.  After all, U.S. crude inventories are still 57 million barrels below where they were at the beginning of the year, while bullish trader bets still outnumber bearish ones by quite some distance. Most fund managers have maintained long positions in case prices surge further. It's only that their appetite for adding even more to them appears to have faded for the time being.    Source Thomson Reuters  A section of Wall Street believes oil prices still have room to run.  Craig Johnson, chief market strategist at Piper Sandler, says the oil price rally still has plenty of room to run.  We're coming into the winter months and it looks like to me, from looking at an oil chart, we could see oil above the $90 level. It could be closer to $110 to $115, Johnson has told CNBC.  The energy crunch is still nowhere close to subsiding, so we expect prevailing strength in oil prices in November and December as supply lags demand and as OPEC stays on the sidelines, Rystad Energy's Louise Dickson has told Reuters.  Earlier, Goldman Sachs, which had forecast Brent at $90, said the benchmark could even top that by the end of the year.  By Alex Kimaninbspfor Oilprice.com",-1,0.6535,"[' ', 'oil', 'million', 'prices', 'U.S.', 'Fed', '$', 'inflation', 'supply', 'crude', 'barrels']"
Oil Prices Slide On Fears Of Tighter Fed Policy,2021-11-03T09:15:00-05:00,"Oil prices fell by 2% early on Wednesday as the market frets about the potential tapering of the Fed's asset purchases that could slow growth and reduce appetite for riskier inflation-hedge assets such as crude futures.  As of 747 a.m. EDT on Wednesday, ahead of the weekly EIA inventory report and before the Fed announcement, both Brent and WTI prices were trading down by 2%.WTI Crude was down 2.11% at $82.14 and Brent Crude traded down 1.89% at $83.10, as the market expects the Fed to announce later today the start of tapering of the asset purchase program because of increased concern over inflation, according to economists polled by Bloomberg.  The U.S. dollar strengthened before the Fed's announcement, further weighing on oil prices as a stronger dollar makes crude more expensive for holders of other currencies. nbsp  Additionally, oil prices fell following another crude oil inventory build estimated by the American Petroleum Institute API.  The API estimated on Tuesday that the inventory build for crude oil was 3.594 million barrels as of last week, which was API's sixth straight week of reporting crude inventory builds. Despite the six weeks of builds, U.S. crude inventories are still 57 million barrels below where they were at the beginning of the year.  Cushing inventories have already drawn down more than 30 million barrels so far this year. And this week, the API reported yet another draw, of 882,000 barrels, on top of last week's 3.734-million-barrel decrease.  The OPEC meeting on November 4 is also making the market anxious amid persistent calls from the U.S. on the alliance to raise oil supply by more than the planned 400,000-bpd monthly increase.  Apart from agreeing on production levels for December, OPEC must also consider what to do with Nigeria and Angola which trail their combined quota by more than 400,000 barrels per day due to various problems, Saxo Bank said in a note on Wednesday.  In today's EIA report the market will also focus on Cushing and whether stock levels there has started to stabilise after slumping to a three-year low, the bank's strategy team wrote.  By Tsvetana Paraskova for Oilprice.com",-1,-0.9559,"[' ', 'crude', 'oil', 'barrels', 'prices', 'market', 'Fed', 'inventory', 'API', 'million', 'week']"
Why Oil Prices Will Rise In The Short Term,2021-11-01T18:00:00-05:00,"The rally in crude oil and other energy prices has sent U.S. gasoline prices to a seven-year high and raised inflation in all major economies. Economists and analysts have started to worry that inflationary pressure coming from energy prices coupled with supply chain bottlenecks for nearly all goods will not be as transitory as central banks expect.nbsp  There is growing concern that inflation could be lsquotransitory for longerrsquo, and high energy prices and supply chain issues could slow down the global economic recovery from the pandemic.nbsp  Still, itrsquos unlikely that higher oil and energy prices would create such a shock as to result in a recession, analysts and investment banks say.nbsp  Oil prices have further headroom to rise in the short term, according to major asset managers.nbsp  ldquoIn recent decades, there has been no instance in which oil prices have spontaneously declined when supply caught up with demand without some form of economic slowdown,rdquo Reuters market analyst John Kemp argues.nbsp  Currently, the Fed and major central banks expect the strong demand for goods and fuels as economies rebound from the pandemic to outgrow supply shortages next year, including in energy commodities.nbsp  The question in the coming months will be how transitory the inflationary pressures should be so as not to materially hurt consumer spending and factory output and significantly slow down economic growth.nbsp  Related Chronic Underinvestment Could Send Energy Prices Higher For Longer  Meanwhile, major investment banks and asset managers are already predicting $100 oil, especially if this winter turns out colder than usual.nbspnbsp  Goldman Sachs says its year-end outlook of $90 oil could even be conservative as demand rises and gas-to-oil switching could boost consumption further by at least 1 million barrels per day bpd.nbsp  The point of demand destruction is now much higher.  ldquoWe would need prices to rise to $110 /bbl to stifle demand enough to balance the market deficit we currently see in 1Q22 given our expectation that OPEC continues on the current path of 0.4 mb/d per month increases in quotas,rdquo Goldman said in a note dated October 24 carried by Reuters.nbsp  Larry Fink, chairman and CEO of the worldrsquos largest asset manager, BlackRock, said last week at the investment forum in Saudi Arabianbsp  ldquoWersquore looking at a high probability of $100 oil.rdquonbsp  Related Europersquos Gas Prices Soar Again On Lower Russian Supply  Others warned of persisting inflation and slowing global growth.nbsp  David Solomon, CEO at Goldman Sachs, told the same event the world could see higher inflation and slowing economic growth. John Studzinski, Vice Chairman of PIMCO, commented about inflation that ldquoFewer and fewer people think itrsquos transitory.rdquonbsp  Despite fears of ldquotransitory for longerrdquo inflation, higher oil prices are unlikely to bring about a recession in the U.S.nbspnbsp  ldquoWe would have to see massive doubling and tripling of oil prices for it to have such a bad effect that we go ... to negative growth,rdquo Anwiti Bahuguna, head of multi-asset strategy at Columbia Threadneedle, told CNBC last month.nbspnbsp  ldquoAnnual energy costs as a percentage of GDP are above the 30-year average of 4.4%, but below that of 1979 or 2008 when annual energy costs reached over 7% of GDP,rdquo analysts at Bernstein wrote in a note in early October. ldquoIf energy prices rises prove to be transient, then the risk of an energy-induced recession remains low,rdquo said Bernstein analysts cited by CNBC.nbsp  U.S. oil supermajor Chevron believes oil prices would not stay at the current high levels.nbspnbsp  ldquoThis feels more cyclical than structural,rdquo Chevronrsquos CFO Pierre Breber told CNN Business in an interview.  ldquoWe view these prices as above mid-cycle and above what our price assumptions would be,rdquo added.nbsp  Oil supply next year is expected to rise with OPEC unwinding the remaining production cuts and the potential of Iranian barrels returning legitimately on the market. This quarterrsquos oil supply deficit is expected to turn into a surplus around the middle of 2022, easing the upward pressure on oil and inflation, and justifying the current cautious approach of the OPEC alliance in easing the collective cuts.nbspnbsp  By Tsvetana Paraskova for Oilprice.com",-1,-0.8735,"[' ', 'prices', 'oil', 'energy', 'inflation', 'rdquo', 'supply', 'year', 'demand', 'high', 'major']"
Only OPEC Has The Power To Send Oil Prices To $100,2021-11-01T17:00:00-05:00,"After the price of West Texas Intermediate WTI recently crossed $80 per barrel, Russian President Vladimir Putin was asked whether it could reach $100. He replied, ldquoThat is quite possible.rdquo Given Russiarsquos dependence on revenue from its oil exports, he was probably smiling when he said it.  The price of WTI hasnrsquot been above $100 since 2014, but OPEC was a significant reason oil prices originally climbed above $100, and they were a significant reason oil prices fell back below $100.  A key reason the price of WTI originally eclipsed $100 per barrel in 2008 was that OPEC had been reluctant to significantly increase production in previous years. From 2004 to 2007, OPEC only increased oil production by 1.2 million barrels per day BPD, assuring other countries that the markets were adequately supplied.  Meanwhile, global oil demand increased by about 3.2 million BPD during those years. Non-OPEC production was flat in those years, and this started to raise concerns about future oil supplies.  The peak oil panic was a factor in ultimately driving the price of oil to nearly $150 a barrel in the summer of 2008. There were fears that there simply wouldnrsquot be enough oil to go around.  But, another development was simultaneously taking place that would eventually add significant new supplies to the market mdash and force OPEC to respond.  U.S. oil production turned upward in 2008, and over the next six years added about 5 million BPD of oil production to the markets. This was a new market threat for OPEC coming from an unexpected direction. The U.S. had been a major importer of oil leading up to the shale oil boom and had experienced a steady decline in oil production since 1970.  Related Europersquos Gas Prices Soar Again On Lower Russian Supply  OPEC initially tried to manage this threat by cutting its own production to keep the markets balanced mdash and to keep oil prices above $100. But U.S. production just kept increasing, and finally, the dam broke in 2014. Oil prices slipped below $100, and shortly thereafter OPEC engaged in a price war to regain market share. The group rapidly ramped up production, and that sent the price of oil reeling.  Between the summer of 2014 and January 2015, the price of WTI was cut in half. A year later it would drop below $30, and some pundits said we would never again see $100 oil.  Predicting oil prices is a foolrsquos game, that requires predicting the actions of OPEC. They suffered mightily during the price war, but they didnrsquot bankrupt the U.S. shale oil industry. U.S. oil production did decline in 2016 but resumed growth in 2017 as oil prices recovered.  OPEC once again returned to their strategy of balancing the market with production cuts, and up until the Covid-19 pandemic crushed global oil demand, that was working to steadily boost oil prices.  Then the pandemic knocked some production offline that still hasnrsquot recovered - particularly in the U.S. Now that oil demand has risen back to near pre-Covid levels, supply and demand have significantly tightened up - just like in 2007. As I noted in the previous article, the U.S. rig count is climbing in response to higher oil prices, but thatrsquos going to take some time to translate into higher oil production.  Meanwhile, the price of oil continues to climb. How high will it go Over the next few months, thatrsquos going to depend on what OPEC decides to do.  By Robert Rapier via www.rrapier.comnbsp",-1,-0.9885,"['oil', ' ', 'production', '$', 'OPEC', 'price', '100', 'prices', 'U.S.', 'WTI', 'years']"
