date_published,title,date
2009-07,1,2009-07
2009-09,2,2009-09
2009-10,1,2009-10
2009-12,1,2009-12
2010-01,5,2010-01
2010-02,6,2010-02
2010-03,6,2010-03
2010-04,4,2010-04
2010-05,4,2010-05
2010-06,8,2010-06
2010-07,7,2010-07
2010-08,6,2010-08
2010-09,9,2010-09
2010-10,11,2010-10
2010-11,7,2010-11
2010-12,10,2010-12
2011-01,13,2011-01
2011-02,20,2011-02
2011-03,16,2011-03
2011-04,7,2011-04
2011-05,8,2011-05
2011-06,12,2011-06
2011-07,6,2011-07
2011-08,8,2011-08
2011-09,4,2011-09
2011-10,10,2011-10
2011-11,8,2011-11
2011-12,8,2011-12
2012-01,14,2012-01
2012-02,19,2012-02
2012-03,20,2012-03
2012-04,9,2012-04
2012-05,10,2012-05
2012-06,15,2012-06
2012-07,20,2012-07
2012-08,19,2012-08
2012-09,11,2012-09
2012-10,22,2012-10
2012-11,16,2012-11
2012-12,22,2012-12
2013-01,28,2013-01
2013-02,22,2013-02
2013-03,16,2013-03
2013-04,28,2013-04
2013-05,17,2013-05
2013-06,11,2013-06
2013-07,23,2013-07
2013-08,14,2013-08
2013-09,14,2013-09
2013-10,21,2013-10
2013-11,18,2013-11
2013-12,16,2013-12
2014-01,24,2014-01
2014-02,19,2014-02
2014-03,15,2014-03
2014-04,10,2014-04
2014-05,9,2014-05
2014-06,6,2014-06
2014-07,8,2014-07
2014-08,16,2014-08
2014-09,22,2014-09
2014-10,21,2014-10
2014-11,30,2014-11
2014-12,34,2014-12
2015-01,38,2015-01
2015-02,43,2015-02
2015-03,30,2015-03
2015-04,36,2015-04
2015-05,36,2015-05
2015-06,53,2015-06
2015-07,50,2015-07
2015-08,32,2015-08
2015-09,30,2015-09
2015-10,30,2015-10
2015-11,29,2015-11
2015-12,26,2015-12
2016-01,38,2016-01
2016-02,32,2016-02
2016-03,26,2016-03
2016-04,35,2016-04
2016-05,51,2016-05
2016-06,23,2016-06
2016-07,46,2016-07
2016-08,43,2016-08
2016-09,50,2016-09
2016-10,44,2016-10
2016-11,38,2016-11
2016-12,42,2016-12
2017-01,58,2017-01
2017-02,45,2017-02
2017-03,40,2017-03
2017-04,44,2017-04
2017-05,37,2017-05
2017-06,51,2017-06
2017-07,55,2017-07
2017-08,73,2017-08
2017-09,63,2017-09
2017-10,59,2017-10
2017-11,67,2017-11
2017-12,40,2017-12
2018-01,46,2018-01
2018-02,61,2018-02
2018-03,47,2018-03
2018-04,51,2018-04
2018-05,45,2018-05
2018-06,69,2018-06
2018-07,66,2018-07
2018-08,63,2018-08
2018-09,41,2018-09
2018-10,86,2018-10
2018-11,67,2018-11
2018-12,63,2018-12
2019-01,78,2019-01
2019-02,49,2019-02
2019-03,48,2019-03
2019-04,55,2019-04
2019-05,71,2019-05
2019-06,43,2019-06
2019-07,40,2019-07
2019-08,46,2019-08
2019-09,32,2019-09
2019-10,30,2019-10
2019-11,34,2019-11
2019-12,34,2019-12
2020-01,29,2020-01
2020-02,41,2020-02
2020-03,57,2020-03
2020-04,90,2020-04
2020-05,87,2020-05
2020-06,72,2020-06
2020-07,102,2020-07
2020-08,57,2020-08
2020-09,57,2020-09
2020-10,56,2020-10
2020-11,42,2020-11
2020-12,48,2020-12
2021-01,36,2021-01
2021-02,36,2021-02
2021-03,66,2021-03
2021-04,55,2021-04
2021-05,43,2021-05
2021-06,54,2021-06
2021-07,62,2021-07
2021-08,66,2021-08
2021-09,75,2021-09
2021-10,51,2021-10
2021-11,63,2021-11
2021-12,15,2021-12
